,Datas,Cidades,Estados,Geocode
0,2020-02-25,são paulo,SP,3550308.0
1,2020-03-05,barra mansa,RJ,3300407.0
2,2020-03-06,feira de santana,BA,2910800.0
3,2020-03-06,rio de janeiro,RJ,3304557.0
4,2020-03-07,brasília,DF,5300108.0
5,2020-03-07,santana de parnaíba,SP,3547304.0
6,2020-03-08,divinópolis,MG,3122306.0
7,2020-03-08,maceió,AL,2704302.0
8,2020-03-10,campo bom,RS,4303905.0
9,2020-03-11,porto alegre,RS,4314902.0
10,2020-03-12,caxias do sul,RS,4305108.0
11,2020-03-12,cianorte,PR,4105508.0
12,2020-03-12,curitiba,PR,4106902.0
13,2020-03-12,ferraz de vasconcelos,SP,3515707.0
14,2020-03-12,florianópolis,SC,4205407.0
15,2020-03-12,goiânia,GO,5208707.0
16,2020-03-12,ipatinga,MG,3131307.0
17,2020-03-12,natal,RN,2408102.0
18,2020-03-12,niterói,RJ,3303302.0
19,2020-03-12,recife,PE,2611606.0
20,2020-03-12,rio verde,GO,5218805.0
21,2020-03-13,joinville,SC,4209102.0
22,2020-03-13,manaus,AM,1302603.0
23,2020-03-13,salvador,BA,2927408.0
24,2020-03-14,aracaju,SE,2800308.0
25,2020-03-14,campo grande,MS,5002704.0
26,2020-03-14,juiz de fora,MG,3136702.0
27,2020-03-14,patrocínio,MG,3148103.0
28,2020-03-14,rancho queimado,SC,4214300.0
29,2020-03-15,braço do norte,SC,4202800.0
30,2020-03-16,anápolis,GO,5201108.0
31,2020-03-16,aquiraz,CE,2301000.0
32,2020-03-16,belo horizonte,MG,3106200.0
33,2020-03-16,fortaleza,CE,2304400.0
34,2020-03-16,mauá,SP,3529401.0
35,2020-03-16,porto seguro,BA,2925303.0
36,2020-03-16,santo andré,SP,3547809.0
37,2020-03-16,são bernardo do campo,SP,3548708.0
38,2020-03-16,são caetano do sul,SP,3548807.0
39,2020-03-17,belo jardim,PE,2601706.0
40,2020-03-17,campo largo,PR,4104204.0
41,2020-03-17,coronel fabriciano,MG,3119401.0
42,2020-03-17,guarulhos,SP,3518800.0
43,2020-03-17,jaboatão dos guararapes,PE,2607901.0
44,2020-03-17,londrina,PR,4113700.0
45,2020-03-17,nova lima,MG,3144805.0
46,2020-03-17,prado,BA,2925501.0
47,2020-03-17,rio branco,AC,1200401.0
48,2020-03-17,sete lagoas,MG,3167202.0
49,2020-03-17,uberlândia,MG,3170206.0
50,2020-03-18,aparecida de goiânia,GO,5201405.0
51,2020-03-18,balneário camboriú,SC,4202008.0
52,2020-03-18,barueri,SP,3505708.0
53,2020-03-18,belém,PA,1501402.0
54,2020-03-18,campinas,SP,3509502.0
55,2020-03-18,cotia,SP,3513009.0
56,2020-03-18,foz do iguaçu,PR,4108304.0
57,2020-03-18,guapimirim,RJ,3301850.0
58,2020-03-18,jaguariúna,SP,3524709.0
59,2020-03-18,jataí,GO,5211909.0
60,2020-03-18,joão pessoa,PB,2507507.0
61,2020-03-18,maringá,PR,4115200.0
62,2020-03-18,osasco,SP,3534401.0
63,2020-03-18,palmas,TO,1721000.0
64,2020-03-18,propriá,SE,2805703.0
65,2020-03-18,sapiranga,RS,4319901.0
66,2020-03-18,sobral,CE,2312908.0
67,2020-03-18,são josé do rio preto,SP,3549805.0
68,2020-03-18,são josé dos campos,SP,3549904.0
69,2020-03-18,tubarão,SC,4218707.0
70,2020-03-19,alvorada,RS,4300604.0
71,2020-03-19,bagé,RS,4301602.0
72,2020-03-19,erechim,RS,4307005.0
73,2020-03-19,farroupilha,RS,4307906.0
74,2020-03-19,itabuna,BA,2914802.0
75,2020-03-19,linhares,ES,3203205.0
76,2020-03-19,miguel pereira,RJ,3302908.0
77,2020-03-19,sidrolândia,MS,5007901.0
78,2020-03-19,suzano,SP,3552502.0
79,2020-03-19,são josé,SC,4216602.0
80,2020-03-19,taquara,RS,4321204.0
81,2020-03-19,taubaté,SP,3554102.0
82,2020-03-19,teresina,PI,2211001.0
83,2020-03-19,vargem grande paulista,SP,3556453.0
84,2020-03-19,vila velha,ES,3205200.0
85,2020-03-19,vitória,ES,3205309.0
86,2020-03-20,bento gonçalves,RS,4302105.0
87,2020-03-20,cachoeiro de itapemirim,ES,3201209.0
88,2020-03-20,camaçari,BA,2905701.0
89,2020-03-20,cariacica,ES,3201308.0
90,2020-03-20,chapecó,SC,4204202.0
91,2020-03-20,criciúma,SC,4204608.0
92,2020-03-20,cuiabá,MT,5103403.0
93,2020-03-20,fortim,CE,2304459.0
94,2020-03-20,guaíra,PR,4108809.0
95,2020-03-20,hortolândia,SP,3519071.0
96,2020-03-20,imbituba,SC,4207304.0
97,2020-03-20,ivoti,RS,4310801.0
98,2020-03-20,jaraguá do sul,SC,4208906.0
99,2020-03-20,ji-paraná,RO,1100122.0
